;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;PC16;PC17;PC18;PC19;PC20
33;0.12691617312531078;0.038065264923515;-0.18030243212001262;-0.08164358773677134;0.07745885105779553;-0.09337437631055413;-0.11670848144116332;0.0703967607204077;-0.16538923423395221;-0.08755041050005344;-0.05579052543176316;0.028055319631494616;-0.002697206758028422;-0.07699146924319346;0.09727585059859514;-0.03765835278437554;-0.004245910141172635;0.04750378035121745;0.005871940253797225;0.17971703828325955
34;0.013636054291669912;0.08205623508393499;-0.04509498029519665;-0.06440511654508557;0.088176010187446;0.3380946053329792;0.3522750611917424;0.0888996691744963;-0.0005354513621682322;-0.06694580067005065;-0.16889848250674877;-0.050978543438004426;0.034672132977202716;0.0636459186512179;0.14813057661338475;-0.12042067865006345;0.16078062645820865;0.034353559899194065;-0.023192477345292166;-0.01843389899008622
35;0.014953582297460149;0.07798740845315764;-0.046751129545601275;-0.058396716040792926;0.08492382685142538;0.33036334235347853;0.35680132357736905;0.09469764629692992;0.0033661421084944868;-0.06433062261154471;-0.17896145970713476;-0.04315344105011795;0.03579238824793407;0.05576442867188035;0.16479773368917985;-0.12481738814746379;0.18922737987505495;0.03552097006434729;-0.012102327883207462;-0.011739365075686445
44;0.1704353316643179;0.04032384680973441;-0.01131644304285923;-0.01265900848891587;0.06467123258718309;0.093380990647296;-0.04939990296848452;0.08364036337305145;0.042517080890302414;0.18857557848826828;-0.051965950405920495;0.04763283355318314;0.1589662473922923;-0.1142873272490901;0.03360138877055932;0.037246372216558375;0.05395285761912853;-0.06526369221470743;0.0987616187020521;0.08777729804988049
45;-0.015794165118241728;0.02426417218501205;-0.07344695314168655;-0.08803706606159654;0.18102137494438617;-0.17580696480172234;-0.019185228292544137;-0.12555927084132112;0.0745260208054392;0.14397534935230352;-0.017582698723037228;-0.16093127468578977;-0.05229347346977546;0.22420947906632033;0.08437775060106543;-0.3324664158489562;-0.0811017036304877;0.596703345290203;0.20851667865350623;0.14657068378734464
46;0.1701977989459947;0.03360291207075662;-0.042420077918996366;-0.03609602655629501;0.08440696618259397;0.047064288386520325;-0.048422245647177196;0.046897404906807355;0.04412548714205356;0.18849452909775746;-0.054444268042153236;0.04080140697442555;0.16520335537433029;-0.09378418929001334;0.03280123280807272;0.015928759947656995;0.04638297527994323;0.019387924713768708;0.16315606834794025;0.09662257464205387
47;0.13160592108165328;0.023130370791921807;0.07007391278150439;-0.019941595114626277;-0.07297987143034562;0.08206698374991288;-0.13587976899215135;0.1067297626102449;-0.05111118033052334;0.1262868792471141;0.2166163276329574;0.06975034796313043;0.050261734725394434;-0.04148366707782075;0.024522019693096583;0.04881720810677754;0.05260068933865958;0.16094461207403685;0.11645456002871735;0.18432552930743754
48;0.0639059512764332;-0.047332078745955984;0.2234770955456867;0.07772353015691669;-0.010786140187241304;0.10624137505053534;-0.19257597003284563;0.15111477923962188;-0.03428440746965405;0.0056056231329565005;-0.07241085653882792;-0.20345751308313997;-0.00023701516194186457;-0.05488395581024005;0.07035576900736737;0.021855200061248886;0.21620615981780122;-0.1874157261301273;0.2722995252199533;0.10624633747270787
49;-0.10821761302706458;0.049743710250689056;0.10613653054381088;0.09885501649808123;0.0661416298595324;0.07014906192259994;-0.10230254267464281;0.04712615957063455;-0.043472168559522094;0.10011943100237836;-0.21930189675988013;-0.371003074647368;0.004812342331277558;-0.08358655954925123;-0.0006091653912097539;0.012879901140667956;0.06958502560614133;-0.22999183324122474;0.2611200550780792;-0.05510064615592485
55;0.11355828808341428;0.06634964896344515;-0.21638684932511643;-0.059311065761337246;-0.013441541293674175;0.03947641434128721;-0.0446612852195076;0.18827032972854474;0.006225916395808151;0.04327838538497886;-0.021489901406497754;-0.10368196003091414;0.10960934129875247;0.09215990297901863;-0.14936653562293045;0.11007043361209266;0.04906541076021011;0.01944507097400697;-0.015310329497354155;-0.05959378429570235
60;-0.047093401421280615;-0.2054251034786181;-0.16929146756116042;-0.0065958004912690755;0.06756587768381564;-0.00020290451433025976;0.01932605230050153;0.04915309210675124;-0.023440386805295674;0.05226874706842402;0.003955841018321804;0.04074343864700765;0.00222838296300454;-0.030421205394464575;0.02142091251999543;-0.022699727470250054;0.0054275684287387466;-0.019398416637201352;-0.005902646269600936;0.040461662375343696
61;0.02255740005301124;-0.025347135182871502;-0.08143288630660984;0.07700753210713669;-0.11620856725579112;-0.14818242077729116;-0.20590335864298567;-0.034378980599294146;0.16845908058212755;0.13959620464642053;0.09741654652215656;-0.09176641021070006;0.16415293352086754;-0.20001960907080102;0.3609293195679215;0.05760354537365653;0.42806471036298777;-0.029799471570490985;-0.292718961568893;-0.15681326763741724
62;-0.04750709062801964;-0.20524239475491188;-0.16928373676193167;-0.007657219735800569;0.06823250841093169;0.000667143846457023;0.017822362926177004;0.04783032717915615;-0.02415156971420478;0.05200608998242186;0.006447150504118664;0.039435955431299366;0.0018753327021848558;-0.0290520651692489;0.017916490184358626;-0.021606517763040727;-0.00027702710302360267;-0.019809960208125955;-0.00803095483747969;0.039250319959451344
65;0.05701376423874557;0.026476376958808678;-0.07359100412782563;0.07501097904145725;-0.17158518389737454;-0.15430887062988627;-0.05453812484120286;-0.0010595115720525381;0.2846266958349323;0.031101433296216813;0.11021734478016275;-0.0953783244967466;-0.1771645700096802;0.25174966311421343;0.13123859122194662;-0.0811317062438612;0.3658749059925255;0.17763314935880647;-0.1513548358856465;-0.1770894963577813
66;-0.049569087813644705;-0.2029007631188033;-0.16548452942741848;-0.018171361021021272;0.06297561511169976;0.002205317943468237;0.02206682920290027;0.04130947997001862;-0.07257476431356696;-0.013238644093691791;-0.008635723718756424;0.019009915228791974;0.027667008468121448;-0.02022818243068611;0.009677705172819434;-0.014155250268563652;0.030131849466615138;-0.026533279912540324;0.09427266992677114;-0.024507236862546522
